Time : 2021-08-03 17:20:14,965 | Type : DEBUG | Name : discord.http | Message : POST https://discord.com/api/v7/channels/860798171671822349/messages has received {'id': '872166991719456798', 'type': 0, 'content': '', 'channel_id': '860798171671822349', 'author': {'id': '871677834551246888', 'username': 'Code Hub', 'avatar': 'a4dc9983c0394b9e85c4f47b5d9e77d2', 'discriminator': '4276', 'public_flags': 0, 'bot': True}, 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'CodeHub | Ping', 'description': '5008ms', 'color': 6421499, 'footer': {'text': 'Information requested by MrPixelTick', 'icon_url': 'https://cdn.discordapp.com/avatars/540585216541065226/a_2f69290a50934ad63f11f3fc6fd6fa2c.gif?size=1024', 'proxy_icon_url': 'https://images-ext-2.discordapp.net/external/LE81su_nZtRUamQ-2nRdy-2ZsxM1q8INUDz96E2Alag/%3Fsize%3D1024/https/cdn.discordapp.com/avatars/540585216541065226/a_2f69290a50934ad63f11f3fc6fd6fa2c.gif'}}], 'mentions': [], 'mention_roles': [], 'pinned': False, 'mention_everyone': False, 'tts': False, 'timestamp': '2021-08-03T17:20:14.905000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'referenced_message': None}
Time : 2021-08-03 17:20:14,965 | Type : DEBUG | Name : discord.client | Message : Dispatching event command_completion
Time : 2021-08-03 17:20:17,079 | Type : DEBUG | Name : discord.gateway | Message : Sending "{"op":3,"d":{"game":{"type":0,"name":"Use !help for commands! \ud83d\udcdc","timestamps":{}},"afk":false,"since":1628011217079,"status":"idle"}}" to change status
Time : 2021-08-03 17:20:17,079 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_send
Time : 2021-08-03 17:20:19,548 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_receive
Time : 2021-08-03 17:20:19,548 | Type : DEBUG | Name : discord.gateway | Message : For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2021-08-03T17:20:19.507000+00:00', 'referenced_message': None, 'pinned': False, 'nonce': '872167011839377408', 'mentions': [{'username': 'Hydra', 'public_flags': 256, 'member': {'roles': ['860157735375208479', '860157882745094175'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-08-02T09:11:09.370000+00:00', 'is_pending': False, 'hoisted_role': '860157735375208479', 'deaf': False, 'avatar': None}, 'id': '343413576024719382', 'discriminator': '4179', 'avatar': '9351f9c2b1629538fdd9110ca62ed22c'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['860157882745094175', '860157735375208479'], 'mute': False, 'joined_at': '2021-07-01T13:59:21.277000+00:00', 'hoisted_role': '860157735375208479', 'deaf': False}, 'id': '872167011021647922', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '<@!343413576024719382>', 'components': [], 'channel_id': '860798171671822349', 'author': {'username': 'MrPixelTick', 'public_flags': 256, 'id': '540585216541065226', 'discriminator': '0001', 'avatar': 'a_2f69290a50934ad63f11f3fc6fd6fa2c'}, 'attachments': [], 'guild_id': '860157634723708997'}}
Time : 2021-08-03 17:20:19,549 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_response
Time : 2021-08-03 17:20:19,549 | Type : DEBUG | Name : discord.client | Message : Dispatching event message
Time : 2021-08-03 17:20:20,077 | Type : DEBUG | Name : discord.gateway | Message : Sending "{"op":3,"d":{"game":{"type":0,"name":"The bot is in beta. \u23f3","timestamps":{}},"afk":false,"since":1628011220077,"status":"idle"}}" to change status
Time : 2021-08-03 17:20:20,077 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_send
Time : 2021-08-03 17:20:23,077 | Type : DEBUG | Name : discord.gateway | Message : Sending "{"op":3,"d":{"game":{"type":0,"name":"We hope you enjoy your experience with our bot \ud83d\udc96","timestamps":{}},"afk":false,"since":1628011223077,"status":"idle"}}" to change status
Time : 2021-08-03 17:20:23,078 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_send
Time : 2021-08-03 17:20:26,079 | Type : DEBUG | Name : discord.gateway | Message : Sending "{"op":3,"d":{"game":{"type":0,"name":"Made by MrPixelTick#0001, Hydra#4179 \ud83c\udf93","timestamps":{}},"afk":false,"since":1628011226079,"status":"idle"}}" to change status
Time : 2021-08-03 17:20:26,079 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_send
Time : 2021-08-03 17:20:29,079 | Type : DEBUG | Name : discord.gateway | Message : Sending "{"op":3,"d":{"game":{"type":0,"name":"Im here to help you learn code! \u2b50","timestamps":{}},"afk":false,"since":1628011229079,"status":"idle"}}" to change status
Time : 2021-08-03 17:20:29,079 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_send
Time : 2021-08-03 17:20:30,066 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_receive
Time : 2021-08-03 17:20:30,067 | Type : DEBUG | Name : discord.gateway | Message : For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2021-08-03T17:20:29.922000+00:00', 'referenced_message': None, 'pinned': False, 'nonce': '872167066084311040', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['860157735375208479', '860157882745094175'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-08-02T09:11:09.370000+00:00', 'is_pending': False, 'hoisted_role': '860157735375208479', 'deaf': False, 'avatar': None}, 'id': '872167054705315891', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'yes', 'components': [], 'channel_id': '860798171671822349', 'author': {'username': 'Hydra', 'public_flags': 256, 'id': '343413576024719382', 'discriminator': '4179', 'avatar': '9351f9c2b1629538fdd9110ca62ed22c'}, 'attachments': [], 'guild_id': '860157634723708997'}}
Time : 2021-08-03 17:20:30,067 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_response
Time : 2021-08-03 17:20:30,067 | Type : DEBUG | Name : discord.client | Message : Dispatching event message
Time : 2021-08-03 17:20:30,099 | Type : DEBUG | Name : discord.gateway | Message : Keeping shard ID None websocket alive with sequence 6.
Time : 2021-08-03 17:20:30,137 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_receive
Time : 2021-08-03 17:20:30,137 | Type : DEBUG | Name : discord.gateway | Message : For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
Time : 2021-08-03 17:20:30,137 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_response
Time : 2021-08-03 17:20:30,842 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_receive
